method,lambda,edf,loglik,runtime_sec
PIJCV,2980.9579870416887,2.2204231201902824,-1893.1713239515516,1.30744125
PIJCV10,2980.957987041662,2.2204231201903353,-1893.1713239515457,0.920519167
EFS,0.7248780613998612,6.282503442928812,-1552.1604073472045,0.775655917
CV10,1.6487212707001282,5.727774458572088,-1552.5445104092846,9.113390792
